Date,Open,High,Low,Close,Adj Close
1993/11/18,46.46875,46.5625,46.28125,46.40625,28.281067
1993/11/19,46.25,46.375,46.21875,46.3125,28.223936
1993/11/22,46.1875,46.21875,45.875,46.03125,28.052542
1993/11/23,46.28125,46.3125,46.03125,46.28125,28.204903
1993/11/24,46.40625,46.5,46.34375,46.46875,28.319157
1993/11/26,46.59375,46.59375,46.46875,46.5,28.338192
1993/11/29,46.625,46.71875,46.3125,46.3125,28.223936
1993/11/30,46.28125,46.5625,46.25,46.34375,28.242989
1993/12/1,46.59375,46.625,46.40625,46.40625,28.281067
1993/12/2,46.5,46.5625,46.40625,46.53125,28.357244
1993/12/3,46.5,46.71875,46.5,46.71875,28.4715
1993/12/6,46.78125,46.9375,46.78125,46.875,28.566734
1993/12/7,46.875,46.90625,46.78125,46.84375,28.547701
1993/12/8,46.84375,46.84375,46.78125,46.84375,28.547701
1993/12/9,46.84375,46.90625,46.625,46.6875,28.452469
1993/12/10,46.71875,46.71875,46.5,46.59375,28.395338
1993/12/13,46.59375,46.875,46.53125,46.875,28.566734
1993/12/14,46.90625,46.90625,46.53125,46.53125,28.357244
1993/12/15,46.59375,46.625,46.46875,46.46875,28.319157
1993/12/16,46.65625,46.65625,46.5625,46.625,28.414354
1993/12/17,46.40625,46.59375,46.375,46.5625,28.570549
1993/12/20,46.53125,46.65625,46.5,46.625,28.608883
1993/12/21,46.5625,46.5625,46.40625,46.46875,28.513027
1993/12/22,46.59375,46.8125,46.5,46.78125,28.704771
1993/12/23,46.75,46.84375,46.6875,46.75,28.685579
1993/12/27,46.75,47,46.75,47,28.838985
1993/12/28,46.96875,47.125,46.9375,47.09375,28.896519
1993/12/29,47.125,47.15625,47,47.03125,28.85816
1993/12/30,47,47,46.75,46.84375,28.743099
1993/12/31,46.9375,47,46.5625,46.59375,28.589708
1994/1/3,46.59375,46.65625,46.40625,46.46875,28.513027
1994/1/4,46.53125,46.65625,46.46875,46.65625,28.628061
1994/1/5,46.71875,46.78125,46.53125,46.75,28.685579
1994/1/6,46.8125,46.84375,46.6875,46.75,28.685579
1994/1/7,46.84375,47.0625,46.71875,47.03125,28.85816
1994/1/10,47.09375,47.59375,46.96875,47.59375,29.203321
1994/1/11,47.5625,47.5625,47.34375,47.5,29.145796
1994/1/12,47.53125,47.53125,47.1875,47.34375,29.049919
1994/1/13,47.21875,47.3125,47.15625,47.21875,28.973202
1994/1/14,47.375,47.5,47.375,47.40625,29.088272
1994/1/17,47.40625,47.46875,47.3125,47.40625,29.088272
1994/1/18,47.46875,47.53125,47.375,47.46875,29.126585
1994/1/19,47.40625,47.46875,47.25,47.34375,29.049919
1994/1/20,47.40625,47.5,47.375,47.46875,29.126585
1994/1/21,47.53125,47.53125,47.34375,47.375,29.069094
1994/1/24,47.34375,47.5625,47.1875,47.1875,28.954042
1994/1/25,47.21875,47.25,47.09375,47.1875,28.954042
1994/1/26,47.1875,47.34375,47.125,47.3125,29.030733
1994/1/27,47.40625,47.8125,47.34375,47.75,29.299191
1994/1/28,47.9375,48.03125,47.875,47.875,29.375881
1994/1/31,48.0625,48.3125,48,48.21875,29.586815
